Sample,samp_date,E/O,Block,Species,Length,Weight (g),N
PAP20200630-03,30.06.2020,Off,2,Arius felis,137,19.5,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,148,25.4,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,129,16,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,161,32.4,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,142,22.4,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,135,19.2,1
PAP20200630-03,30.06.2020,Off,2,Arius felis,145,22.5,1
PAP20200630-05,30.06.2020,Off,3,Arius felis,193,57.6,1
PAP20200630-07,30.06.2020,Edge,4,Arius felis,149,25.2,1
PAP20200708-01,08.07.2020,Edge,2,Arius felis,81,4,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,145,23.1,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,132,18.7,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,150,21.6,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,140,23.4,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,140,20.5,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,137,20,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,139,20.6,1
PAP20200708-02,08.07.2020,Off,2,Arius felis,148,25.6,1
PAP20200708-04,08.07.2020,Off,3,Arius felis,145,24,1
PAP20200708-05,08.07.2020,Edge,4,Arius felis,153,28.8,1
PAP20200708-05,08.07.2020,Edge,4,Arius felis,169,35,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,139,21.6,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,142,21.9,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,142,21.4,1
PAP20200708-06,08.07.2020,Off,4,Arius felis,152,27.8,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,142,20.6,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,168,34.4,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,155,27.2,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,145,22,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,143,23.1,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,143,21.3,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,154,25.9,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,140,22.8,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,139,22.3,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,150,24.5,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,137,19.8,1
PAP20200708-10,08.07.2020,Off,1,Arius felis,148,23.5,1
PAP20200714-03,14.07.2020,Edge,2,Arius felis,66,1.8,1
PAP20200714-04,14.07.2020,Off,2,Arius felis,151,26.4,1
PAP20200714-04,14.07.2020,Off,2,Arius felis,153,32.3,1
PAP20200714-04,14.07.2020,Off,2,Arius felis,156,26.7,1
PAP20200721-02,21.07.2020,Off,1,Arius felis,142,24.6,1
PAP20200721-02,21.07.2020,Off,1,Arius felis,150,28.4,1
PAP20200721-02,21.07.2020,Off,1,Arius felis,146,27.8,1
PAP20200721-04,21.07.2020,Off,2,Arius felis,192,54.5,1
PAP20200721-04,21.07.2020,Off,2,Arius felis,156,20,1
PAP20200721-05,21.07.2020,Edge,3,Arius felis,162,29.2,1
PAP20200721-05,21.07.2020,Edge,3,Arius felis,144,22.1,1
PAP20200721-06,21.07.2020,Off,3,Arius felis,147,35.4,1
PAP20200721-07,21.07.2020,Edge,4,Arius felis,136,32.6,1
PAP20200721-07,21.07.2020,Edge,4,Arius felis,71,2.3,1
PAP20200721-08,21.07.2020,Off,4,Arius felis,70,2.8,1
PAP20200721-09,21.07.2020,Edge,5,Arius felis,64,1.9,1
PAP20200721-10,21.07.2020,Off,5,Arius felis,69,2.5,1
PAP20200721-10,21.07.2020,Off,5,Arius felis,70,2.3,1
PAP20200721-10,21.07.2020,Off,5,Arius felis,65,2.2,1
PAP20200731-01,31.07.2020,Edge,1,Arius felis,160,35.7,1
PAP20200731-01,31.07.2020,Edge,1,Arius felis,116,8.5,1
PAP20200731-02,31.07.2020,Off,1,Arius felis,170,37.1,1
PAP20200731-02,31.07.2020,Off,1,Arius felis,148,30.8,1
PAP20200731-02,31.07.2020,Off,1,Arius felis,155,31.1,1
PAP20200731-03,31.07.2020,Edge,2,Arius felis,66,2.6,1
PAP20200731-03,31.07.2020,Edge,2,Arius felis,69,2.8,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,280,NA,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,139,23.3,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,147,30.5,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,158,29.8,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,150,29.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,63,1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,55,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,52,1.2,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,53,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,51,1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,48,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,52,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,53,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,51,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,54,1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,53,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,52,1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,51,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,54,1.2,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,51,1.1,1
PAP20200731-04,31.07.2020,Off,2,Arius felis,54,1.2,1
PAP20200731-04,31.07.2020,NA,NA,Arius felis,80,NA,NA
PAP20200731-04,31.07.2020,NA,NA,Arius felis,80,NA,NA
PAP20200731-04,31.07.2020,NA,NA,Arius felis,80,NA,NA
PAP20200731-04,31.07.2020,NA,NA,Arius felis,80,NA,NA
PAP20200731-04,31.07.2020,NA,NA,Arius felis,80,NA,NA
PAP20200731-04,31.07.2020,NA,NA,Arius felis,80,NA,NA
PAP20200731-06,31.07.2020,Off,3,Arius felis,141,24,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,144,24.4,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,104,8.9,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,70,2.4,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,62,1.9,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,76,3.2,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,42,2.1,1
PAP20200731-06,31.07.2020,Off,3,Arius felis,72,3,1
PAP20200731-07,31.07.2020,Edge,4,Arius felis,70,2.1,1
PAP20200731-08,31.07.2020,Off,4,Arius felis,161,33.8,1
PAP20200731-08,31.07.2020,Off,4,Arius felis,197,60.5,1
PAP20200731-08,31.07.2020,Off,4,Arius felis,170,35,1
PAP20200731-08,31.07.2020,Off,4,Arius felis,77,4.6,1
PAP20200731-10,31.07.2020,Off,5,Arius felis,155,28.6,1
PAP20200731-10,31.07.2020,Off,5,Arius felis,54,1.3,1
PAP20200806-01,06.08.2020,Edge,1,Arius felis,149,31.3,1
PAP20200806-06,06.08.2020,Off,3,Arius felis,148,24,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,60,1.5,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,63,2,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,72,3.7,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,56,1.4,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,70,2.4,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,64,1.8,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,67,2.5,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,68,2.2,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,66,2.2,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,65,1.9,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,70,2.4,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,65,1.8,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,62,2,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,57,1.3,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,86,5.4,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,66,1.5,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,64,1.7,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,64,2,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,72,2.7,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,69,2.3,1
PAP20200806-07,06.08.2020,Edge,4,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-07,06.08.2020,Edge,NA,Arius felis,73,NA,1
PAP20200806-10,06.08.2020,Off,5,Arius felis,84,3.7,1
PAP20200814-02,14.08.2020,Off,1,Arius felis,154,27.8,1
PAP20200814-02,14.08.2020,Off,1,Arius felis,156,32.5,1
PAP20200814-02,14.08.2020,Off,1,Arius felis,153,29,1
PAP20200814-02,14.08.2020,Off,1,Arius felis,155,30.6,1
PAP20200814-02,14.08.2020,Off,1,Arius felis,161,33.9,1
PAP20200814-02,14.08.2020,Off,1,Arius felis,154,29.1,1
PAP20200814-03,14.08.2020,Edge,2,Arius felis,65,1.8,1
PAP20200814-04,14.08.2020,Off,2,Arius felis,168,35,1
PAP20200814-04,14.08.2020,Off,2,Arius felis,153,25.2,1
PAP20200814-04,14.08.2020,Off,2,Arius felis,157,33.5,1
PAP20200814-04,14.08.2020,Off,2,Arius felis,167,32.7,1
PAP20200819-02,19.08.2020,Off,1,Arius felis,155,28.5,1
PAP20200819-05,19.08.2020,Edge,3,Arius felis,145,23.7,1
PAP20200819-05,19.08.2020,Edge,3,Arius felis,106,7.6,1
PAP20200819-06,19.08.2020,Off,3,Arius felis,156,26.2,1
PAP20200819-06,19.08.2020,Off,3,Arius felis,142,22.9,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,90,5,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,100,6.9,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,44,4.3,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,157,28.3,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,151,29.8,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,117,11.2,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,85,4.5,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,91,5.2,1
PAP20200819-07,19.08.2020,Edge,4,Arius felis,70,2.5,1
PAP20200819-10,19.08.2020,Off,5,Arius felis,162,28.3,1
PAP20200819-10,19.08.2020,Off,5,Arius felis,56,1.3,1
PAP20200828-01,28.08.2020,Edge,1,Arius felis,157,33.9,1
PAP20200828-02,28.08.2020,Off,1,Arius felis,153,31.8,1
PAP20200828-02,28.08.2020,Off,1,Arius felis,66,2.6,1
PAP20200828-05,28.08.2020,Edge,3,Arius felis,112,10.8,1
PAP20200828-05,28.08.2020,Edge,3,Arius felis,88,4.7,1
PAP20200828-05,28.08.2020,Edge,3,Arius felis,95,6.1,1
PAP20200828-06,28.08.2020,Off,3,Arius felis,94,5.9,1
PAP20200828-06,28.08.2020,Off,3,Arius felis,103,8.5,1
PAP20200828-06,28.08.2020,Off,3,Arius felis,65,1.8,1
PAP20200828-06,28.08.2020,Off,3,Arius felis,77,3.4,1
PAP20200828-06,28.08.2020,Off,3,Arius felis,64,1.8,1
PAP20200828-06,28.08.2020,Off,3,Arius felis,61,1.6,1
PAP20200828-07,28.08.2020,Edge,4,Arius felis,158,30.4,1
PAP20200828-07,28.08.2020,Edge,4,Arius felis,102,7.8,1
PAP20200828-07,28.08.2020,Edge,4,Arius felis,75,3.2,1
PAP20200828-07,28.08.2020,Edge,4,Arius felis,76,3.4,1
PAP20200828-08,28.08.2020,Off,4,Arius felis,92,6.2,1
PAP20200925-08,25.09.2020,Off,4,Arius felis,108,9,1
PAP20201007-02,07.10.2020,Off,1,Arius felis,171,36.9,1
PAP20201007-02,07.10.2020,Off,1,Arius felis,168,35.9,1
PAP20201007-08,07.10.2020,Off,4,Arius felis,97,6.3,1
PAP20201015-01,15.10.2020,Edge,1,Arius felis,160,35.4,1
