Sample,samp_date,E/O,Block,Species,Length ,Weight (g),Sex,N
PAP20200630-05,30.06.2020,Off,3,Cynoscion nebulosus,56,1.5,,1
PAP20200708-05,08.07.2020,Edge,4,Cynoscion nebulosus,67,2.8,,1
PAP20200708-05,08.07.2020,Edge,4,Cynoscion nebulosus,45,0.9,,1
PAP20200708-05,08.07.2020,Edge,4,Cynoscion nebulosus,48,1.1,,1
PAP20200714-03,14.07.2020,Edge,2,Cynoscion nebulosus,47,0.9,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,45,0.9,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,53,1.2,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,48,1,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,51,1.2,,1
PAP20200714-05,14.07.2020,Edge,3,Cynoscion nebulosus,54,1.2,,1
PAP20200714-06,14.07.2020,Off,3,Cynoscion nebulosus,44,0.7,,1
PAP20200714-08,14.07.2020,Off,4,Cynoscion nebulosus,55,1.5,,1
PAP20200714-10,14.07.2020,Off,5,Cynoscion nebulosus,70,3.2,,1
PAP20200714-10,14.07.2020,Off,5,Cynoscion nebulosus,51,1.4,,1
PAP20200721-03,21.07.2020,Edge,2,Cynoscion nebulosus,63,2.6,,1
PAP20200721-03,21.07.2020,Edge,2,Cynoscion nebulosus,59,1.8,,1
PAP20200721-08,21.07.2020,Off,4,Cynoscion nebulosus,50,1.3,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,90,6.4,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,79,4.2,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,54,1.3,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,38,0.4,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,47,1,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,50,1,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,47,0.9,,1
PAP20200806-03,06.08.2020,Edge,2,Cynoscion nebulosus,45,0.7,,1
PAP20200806-07,06.08.2020,Edge,4,Cynoscion nebulosus,49,1,,1
PAP20200806-08,06.08.2020,Off,4,Cynoscion nebulosus,50,1.1,,1
PAP20200806-09,06.08.2020,Edge,5,Cynoscion nebulosus,44,0.7,,1
PAP20200806-10,06.08.2020,Off,5,Cynoscion nebulosus,46,0.9,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion nebulosus,53,1,,1
PAP20200814-03,14.08.2020,Edge,2,Cynoscion nebulosus,53,1.3,,1
PAP20200814-04,14.08.2020,Off,2,Cynoscion nebulosus,54,1,,1
PAP20200814-05,14.08.2020,Edge,3,Cynoscion nebulosus,49,1.1,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion nebulosus,94,7.6,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion nebulosus,50,1.2,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion nebulosus,66,2.8,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion nebulosus,53,1.5,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion nebulosus,45,0.8,,1
PAP20200814-06,14.08.2020,Off,3,Cynoscion nebulosus,53,1.4,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,62,2.4,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,65,2.3,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,45,0.8,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,63,2.2,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,57,2,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,50,1.1,,1
PAP20200814-07,14.08.2020,Edge,4,Cynoscion nebulosus,48,0.8,,1
PAP20200814-08,14.08.2020,Off,4,Cynoscion nebulosus,43,0.6,,1
PAP20200814-09,14.08.2020,Edge,5,Cynoscion nebulosus,101,9.7,,1
PAP20200819-03,19.08.2020,Edge,2,Cynoscion nebulosus,41,0.6,,1
PAP20200819-03,19.08.2020,Edge,2,Cynoscion nebulosus,41,0.5,,1
PAP20200819-04,19.08.2020,Off,2,Cynoscion nebulosus,43,0.7,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion nebulosus,55,1.4,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion nebulosus,50,1.1,,1
PAP20200819-05,19.08.2020,Edge,3,Cynoscion nebulosus,42,0.6,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion nebulosus,282,200.5,,1
PAP20200819-07,19.08.2020,Edge,4,Cynoscion nebulosus,42,0.7,,1
PAP20200819-08,19.08.2020,Off,4,Cynoscion nebulosus,42,0.7,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion nebulosus,45,0.7,,1
PAP20200819-09,19.08.2020,Edge,5,Cynoscion nebulosus,46,0.9,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,96,7.5,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,49,1,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,85,4.8,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,79,4.4,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,55,1.4,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,55,1.5,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,47,0.9,,1
PAP20200828-05,28.08.2020,Edge,3,Cynoscion nebulosus,48,1.1,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,47,1,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,58,1.5,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,56,1.6,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,56,1.6,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,55,1.5,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,50,1.1,,1
PAP20200828-08,28.08.2020,Off,4,Cynoscion nebulosus,47,1.1,,1
PAP20200828-09,28.08.2020,Edge,5,Cynoscion nebulosus,47,0.9,,1
PAP20200828-09,28.08.2020,Edge,5,Cynoscion nebulosus,49,1,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,57,1.7,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,48,1,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,68,2.8,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,38,0.5,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,49,1,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,47,1,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,50,1.1,,1
PAP20200903-03,03.09.2020,Edge,2,Cynoscion nebulosus,46,0.8,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,52,1.3,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,79,4.9,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,58,1.8,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,74,3.4,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,63,2.1,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,47,1.1,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,47,1,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,46,1,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,44,0.7,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,39,0.5,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,37,0.4,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,48,0.9,,1
PAP20200903-04,03.09.2020,Off,2,Cynoscion nebulosus,42,0.6,,1
PAP20200903-05,03.09.2020,Edge,3,Cynoscion nebulosus,85,5.6,,1
PAP20200903-05,03.09.2020,Edge,3,Cynoscion nebulosus,57,7.5,,1
PAP20200903-05,03.09.2020,Edge,3,Cynoscion nebulosus,44,0.9,,1
PAP20200903-07,03.09.2020,Edge,4,Cynoscion nebulosus,84,4.5,,1
PAP20200903-08,03.09.2020,Off,4,Cynoscion nebulosus,60,2.2,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,55,1.5,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,72,3.6,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,52,1.3,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,45,0.8,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,58,1.7,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,60,1.7,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,45,0.8,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,54,1.7,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,48,1,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,46,0.8,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,77,3.7,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,59,2,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,47,0.9,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,72,3.3,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,62,2,,1
PAP20200903-09,03.09.2020,Edge,5,Cynoscion nebulosus,45,0.7,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,68,2.8,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,57,1.6,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,46,0.9,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,40,0.7,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,64,2.2,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,40,0.6,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,38,0.5,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,49,1.1,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,48,1.1,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,61,2.2,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,45,0.8,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,50,1.1,,1
PAP20200903-10,03.09.2020,Off,5,Cynoscion nebulosus,,,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,70,3.2,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,46,1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,51,1.3,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,56,1.4,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,46,0.9,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,65,2.6,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,49,1.1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,69,2.8,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,65,2.5,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,70,3.1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,53,1.3,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,47,1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,40,0.6,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,32,0.3,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,51,1.3,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,55,1.5,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,50,1.1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,50,1.1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,40,0.6,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,48,1,,1
PAP20200910-03,10.09.2020,Edge,2,Cynoscion nebulosus,,,,1
PAP20200910-04,10.09.2020,Off,2,Cynoscion nebulosus,34,0.3,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,79,4.3,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,54,1.3,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,72,3,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,111,14.3,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,91,6.8,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,99,7.9,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,64,2.1,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,65,2.4,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,42,0.6,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,37,0.5,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,67,2.8,,1
PAP20200910-05,10.09.2020,Edge,3,Cynoscion nebulosus,66,2.4,,1
PAP20200910-06,10.09.2020,Off,3,Cynoscion nebulosus,45,0.8,,1
PAP20200910-07,10.09.2020,Edge,4,Cynoscion nebulosus,52,1.3,,1
PAP20200910-08,10.09.2020,Off,4,Cynoscion nebulosus,70,3.2,,1
PAP20200910-08,10.09.2020,Off,4,Cynoscion nebulosus,49,1.3,,1
PAP20200910-09,10.09.2020,Edge,5,Cynoscion nebulosus,93,6.2,,1
PAP20200910-09,10.09.2020,Edge,5,Cynoscion nebulosus,84,5.3,,1
PAP20200910-09,10.09.2020,Edge,5,Cynoscion nebulosus,87,5.4,,1
PAP20200910-09,10.09.2020,Edge,5,Cynoscion nebulosus,65,2.7,,1
PAP20200910-09,10.09.2020,Edge,5,Cynoscion nebulosus,48,1,,1
PAP20200910-09,10.09.2020,Edge,5,Cynoscion nebulosus,54,1.4,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,40,0.6,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,86,5.8,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,60,1.9,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,67,2.8,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,62,2.1,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,34,0.3,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,45,0.8,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,42,0.7,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,46,1,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,45,0.7,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,53,1.3,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,53,1.3,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,71,3,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,73,3.6,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,71,3.2,,1
PAP20200910-10,10.09.2020,Off,5,Cynoscion nebulosus,46,1.1,,1
PAP20200925-03,25.09.2020,Edge,2,Cynoscion nebulosus,45,0.7,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,86,5.8,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,54,1.3,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,57,1.5,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,56,1.6,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,54,1.3,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,52,1,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,46,0.9,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,47,0.8,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,48,0.8,,1
PAP20200925-05,25.09.2020,Edge,3,Cynoscion nebulosus,45,0.7,,1
PAP20200925-06,25.09.2020,Off,3,Cynoscion nebulosus,61,1.9,,1
PAP20200925-06,25.09.2020,Off,3,Cynoscion nebulosus,39,0.8,,1
PAP20200925-07,25.09.2020,Edge,4,Cynoscion nebulosus,55,1.4,,1
PAP20200925-07,25.09.2020,Edge,4,Cynoscion nebulosus,49,1,,1
PAP20200925-08,25.09.2020,Off,4,Cynoscion nebulosus,59,1.6,,1
PAP20200925-08,25.09.2020,Off,4,Cynoscion nebulosus,59,1.7,,1
PAP20200925-08,25.09.2020,Off,4,Cynoscion nebulosus,47,1,,1
PAP20200925-08,25.09.2020,Off,4,Cynoscion nebulosus,47,0.8,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,49,0.9,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,49,1.1,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,56,1.4,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,50,0.9,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,51,1.1,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,47,0.9,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,42,0.7,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,61,1.7,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,44,0.7,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,45,0.7,,1
PAP20200925-09,25.09.2020,Edge,5,Cynoscion nebulosus,43,0.6,,1
PAP20200925-10,25.09.2020,Off,5,Cynoscion nebulosus,47,0.8,,1
PAP20200925-10,25.09.2020,Off,5,Cynoscion nebulosus,53,1.2,,1
PAP20200925-10,25.09.2020,Off,5,Cynoscion nebulosus,46,0.8,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,37,0.4,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,41,0.7,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,73,3.3,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,66,2.6,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,61,2,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,53,1.2,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,58,1.8,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,52,1.2,,1
PAP20200930-03,30.09.2020,Edge,2,Cynoscion nebulosus,53,1.2,,1
PAP20200930-06,30.09.2020,Off,3,Cynoscion nebulosus,50,1,,1
PAP20200930-07,30.09.2020,Edge,4,Cynoscion nebulosus,126,18.7,,1
PAP20200930-07,30.09.2020,Edge,4,Cynoscion nebulosus,55,1.4,,1
PAP20200930-08,30.09.2020,Off,4,Cynoscion nebulosus,57,1.4,,1
PAP20200930-09,30.09.2020,Edge,5,Cynoscion nebulosus,44,0.6,,1
PAP20200930-09,30.09.2020,Edge,5,Cynoscion nebulosus,59,1.6,,1
PAP20200930-09,30.09.2020,Edge,5,Cynoscion nebulosus,45,0.9,,1
PAP20200930-09,30.09.2020,Edge,5,Cynoscion nebulosus,78,4.1,,1
PAP20200930-09,30.09.2020,Edge,5,Cynoscion nebulosus,96,7.6,,1
PAP20200930-10,30.09.2020,Off,5,Cynoscion nebulosus,63,2.1,,1
PAP20200930-10,30.09.2020,Off,5,Cynoscion nebulosus,79,4.1,,1
PAP20200930-10,30.09.2020,Off,5,Cynoscion nebulosus,57,1.5,,1
PAP20200930-10,30.09.2020,Off,5,Cynoscion nebulosus,54,1.2,,1
PAP20200930-10,30.09.2020,Off,5,Cynoscion nebulosus,60,1.7,,1
PAP20200930-10,30.09.2020,Off,5,Cynoscion nebulosus,49,1,,1
PAP20201007-03,07.10.2020,Edge,2,Cynoscion nebulosus,61,1.9,,1
PAP20201007-03,07.10.2020,Edge,2,Cynoscion nebulosus,59,1.8,,1
PAP20201007-03,07.10.2020,Edge,2,Cynoscion nebulosus,61,1.9,,1
PAP20201007-03,07.10.2020,Edge,2,Cynoscion nebulosus,57,1.5,,1
PAP20201007-03,07.10.2020,Edge,2,Cynoscion nebulosus,52,1.2,,1
PAP20201007-08,07.10.2020,Off,4,Cynoscion nebulosus,88,5.7,,1
PAP20201007-08,07.10.2020,Off,4,Cynoscion nebulosus,100,8.3,,1
PAP20201007-08,07.10.2020,Off,4,Cynoscion nebulosus,58,1.5,,1
PAP20201007-08,07.10.2020,Off,4,Cynoscion nebulosus,53,1.3,,1
PAP20201007-08,07.10.2020,Off,4,Cynoscion nebulosus,116,12.6,,1
PAP20201015-03,15.10.2020,Edge,2,Cynoscion nebulosus,65,2.2,,1
PAP20201015-03,15.10.2020,Edge,2,Cynoscion nebulosus,78,4.2,,1
PAP20201015-03,15.10.2020,Edge,2,Cynoscion nebulosus,68,2.7,,1
PAP20201015-03,15.10.2020,Edge,2,Cynoscion nebulosus,61,2.2,,1
PAP20201015-07,15.10.2020,Edge,4,Cynoscion nebulosus,69,3,,1
PAP20201015-08,15.10.2020,Off,4,Cynoscion nebulosus,77,4.6,,1
PAP20201015-08,15.10.2020,Off,4,Cynoscion nebulosus,68,2.6,,1
PAP20201015-08,15.10.2020,Off,4,Cynoscion nebulosus,58,1.6,,1
PAP20201015-09,15.10.2020,Edge,5,Cynoscion nebulosus,72,3.1,,1
PAP20201015-09,15.10.2020,Edge,5,Cynoscion nebulosus,85,5.1,,1
PAP20201015-09,15.10.2020,Edge,5,Cynoscion nebulosus,65,2.9,,1
PAP20201015-09,15.10.2020,Edge,5,Cynoscion nebulosus,77,3.7,,1
PAP20201015-09,15.10.2020,Edge,5,Cynoscion nebulosus,76,3.6,,1
PAP20201015-10,15.10.2020,Off,5,Cynoscion nebulosus,77,3.9,,1
PAP20201015-10,15.10.2020,Off,5,Cynoscion nebulosus,72,3.2,,1
PAP20201020-05,20.10.2020,Edge,3,Cynoscion nebulosus,89,6.3,,1
PAP20201020-05,20.10.2020,Edge,3,Cynoscion nebulosus,61,1.9,,1
PAP20201020-05,20.10.2020,Edge,3,Cynoscion nebulosus,70,3,,1
PAP20201020-07,20.10.2020,Edge,4,Cynoscion nebulosus,80,4,,1
PAP20201020-07,20.10.2020,Edge,4,Cynoscion nebulosus,82,5,,1
PAP20201020-08,20.10.2020,Off,4,Cynoscion nebulosus,52,1.8,,1
PAP20201020-09,20.10.2020,Edge,5,Cynoscion nebulosus,89,6.1,,1
PAP20201020-09,20.10.2020,Edge,5,Cynoscion nebulosus,64,2.1,,1
PAP20201020-10,20.10.2020,Off,5,Cynoscion nebulosus,72,3.1,,1
PAP20201020-10,20.10.2020,Off,5,Cynoscion nebulosus,56,1.5,,1
PAP20201020-10,20.10.2020,Off,5,Cynoscion nebulosus,79,3.9,,1
PAP20201020-10,20.10.2020,Off,5,Cynoscion nebulosus,63,2,,1
PAP20201020-10,20.10.2020,Off,5,Cynoscion nebulosus,58,1.7,,1
PAP20201020-10,20.10.2020,Off,5,Cynoscion nebulosus,66,2.2,,1
PAP20201105-06,05.11.2020,Off,3,Cynoscion nebulosus,90,5.9,,1
PAP20201105-09,05.11.2020,Edge,5,Cynoscion nebulosus,57,1.6,,1
PAP20201105-10,05.11.2020,Off,5,Cynoscion nebulosus,91,6.3,,1
PAP20201112-05,12.11.2020,Edge,3,Cynoscion nebulosus,76,3.9,,1
