Haul,L. setiferus CL,L. setiferus TL,F. spp. CL,F. spp. TL,,ReEnter,,If/Then,
PAP20200930-03,17,95,12,65,,95,65,0,0
PAP20200930-03,16,77,7,42,,77,42,0,0
PAP20200930-03,8,35,10,46,,35,46,0,0
PAP20200930-03,12,75,8,41,,75,41,0,0
PAP20200930-03,15,81,10,54,,81,54,0,0
PAP20200930-03,13,71,9,53,,71,53,0,0
PAP20200930-03,14,80,12,59,,80,59,0,0
PAP20200930-03,10,50,5,31,,50,31,0,0
PAP20200930-03,14,75,10,47,,75,47,0,0
PAP20200930-03,16,82,11,56,,82,56,0,0
PAP20200930-03,15,79,9,43,,79,43,0,0
PAP20200930-03,7,34,11,60,,34,60,0,0
PAP20200930-03,16,83,12,63,,83,63,0,0
PAP20200930-03,15,82,9,51,,82,51,0,0
PAP20200930-03,13,74,,,,74,,0,0
PAP20200930-03,14,75,,,,75,,0,0
PAP20200930-03,8,42,,,,42,,0,0
PAP20200930-03,15,83,,,,83,,0,0
PAP20200930-03,9,49,,,,49,,0,0
PAP20200930-03,15,87,,,,87,,0,0
PAP20200930-07,16,80,13,61,,80,61,0,0
PAP20200930-07,11,60,11,55,,60,55,0,0
PAP20200930-07,16,87,8,25,,87,25,0,0
PAP20200930-07,14,78,8,35,,78,35,0,0
PAP20200930-07,15,85,5,29,,85,29,0,0
PAP20200930-07,12,74,6,29,,74,29,0,0
PAP20200930-07,9,46,,,,46,,0,0
PAP20200930-07,10,55,,,,55,,0,0
PAP20200930-07,7,41,,,,41,,0,0
PAP20200930-07,7,38,,,,38,,0,0
PAP20200930-07,6,35,,,,35,,0,0
PAP20200930-07,7,42,,,,42,,0,0
PAP20200930-07,5,32,,,,32,,0,0
PAP20200930-07,5,31,,,,31,,0,0
PAP20200930-08,6,39,10,51,,39,51,0,0
PAP20200930-08,14,91,11,58,,91,58,0,0
PAP20200930-08,14,84,9,47,,84,47,0,0
PAP20200930-08,7,41,11,54,,41,54,0,0
PAP20200930-08,13,71,10,48,,71,48,0,0
PAP20200930-08,16,93,7,31,,93,31,0,0
PAP20200930-08,12,79,14,64,,79,64,0,0
PAP20200930-08,20,99,9,51,,99,51,0,0
PAP20200930-08,5,34,8,44,,34,44,0,0
PAP20200930-08,13,70,6,34,,70,34,0,0
PAP20200930-08,17,90,6,32,,90,32,0,0
PAP20200930-08,13,80,11,50,,80,50,0,0
PAP20200930-08,7,35,8,47,,35,47,0,0
PAP20200930-08,8,46,9,50,,46,50,0,0
PAP20200930-08,18,71,7,43,,71,43,0,0
PAP20200930-08,13,77,9,45,,77,45,0,0
PAP20200930-08,11,71,10,49,,71,49,0,0
PAP20200930-08,10,56,12,54,,56,54,0,0
PAP20200930-08,11,70,9,52,,70,52,0,0
PAP20200930-08,8,50,9,47,,50,47,0,0
PAP20201007-03,14,75,14,65,,75,65,0,0
PAP20201007-03,16,84,11,57,,84,57,0,0
PAP20201007-03,18,85,15,72,,85,72,0,0
PAP20201007-03,8,42,11,54,,42,54,0,0
PAP20201007-03,9,44,13,52,,44,52,0,0
PAP20201007-03,13,74,12,55,,74,55,0,0
PAP20201007-03,15,81,13,55,,81,55,0,0
PAP20201007-03,7,40,11,50,,40,50,0,0
PAP20201007-03,,,11,47,,,47,0,0
PAP20201007-04,15,78,,,,78,,0,0
PAP20201007-04,9,45,,,,45,,0,0
PAP20201007-04,9,40,,,,40,,0,0
PAP20201007-05,17,81,11,51,,81,51,0,0
PAP20201007-05,15,77,12,52,,77,52,0,0
PAP20201007-05,15,76,9,40,,76,40,0,0
PAP20201007-05,14,68,10,46,,68,46,0,0
PAP20201007-05,9,48,11,50,,48,50,0,0
PAP20201007-05,14,74,11,47,,74,47,0,0
PAP20201007-05,8,41,12,56,,41,56,0,0
PAP20201007-05,16,76,10,49,,76,49,0,0
PAP20201007-05,8,39,10,51,,39,51,0,0
PAP20201007-05,16,85,10,37,,85,37,0,0
PAP20201007-05,13,67,7,37,,67,37,0,0
PAP20201007-05,12,59,10,41,,59,41,0,0
PAP20201007-05,16,74,8,40,,74,40,0,0
PAP20201007-05,17,80,7,37,,80,37,0,0
PAP20201007-05,15,75,8,40,,75,40,0,0
PAP20201007-05,16,78,6,31,,78,31,0,0
PAP20201007-05,6,36,7,38,,36,38,0,0
PAP20201007-05,16,83,,,,83,,0,0
PAP20201007-05,16,83,,,,83,,0,0
PAP20201007-05,16,80,,,,80,,0,0
PAP20201007-07,9,59,13,63,,59,63,0,0
PAP20201007-07,13,74,6,36,,74,36,0,0
PAP20201007-07,13,78,9,45,,78,45,0,0
PAP20201007-07,8,46,,,,46,,0,0
PAP20201007-07,10,56,,,,56,,0,0
PAP20201007-07,16,96,,,,96,,0,0
PAP20201007-07,13,79,,,,79,,0,0
PAP20201007-07,12,62,,,,62,,0,0
PAP20201007-07,9,54,,,,54,,0,0
PAP20201007-07,14,78,,,,78,,0,0
PAP20201007-07,14,78,,,,78,,0,0
PAP20201007-07,13,73,,,,73,,0,0
PAP20201007-07,14,76,,,,76,,0,0
PAP20201007-07,14,78,,,,78,,0,0
PAP20201007-07,8,42,,,,42,,0,0
PAP20201007-07,16,78,,,,78,,0,0
PAP20201007-07,14,80,,,,80,,0,0
PAP20201007-07,12,71,,,,71,,0,0
PAP20201007-07,11,65,,,,65,,0,0
PAP20201007-07,10,62,,,,62,,0,0
PAP20201007-08,9,45,13,58,,45,58,0,0
PAP20201007-08,13,65,11,50,,65,50,0,0
PAP20201007-08,15,74,10,40,,74,40,0,0
PAP20201007-08,10,55,8,38,,55,38,0,0
PAP20201007-08,8,42,10,45,,42,45,0,0
PAP20201007-08,8,39,11,48,,39,48,0,0
PAP20201007-08,9,45,11,44,,45,44,0,0
PAP20201007-08,9,47,10,41,,47,41,0,0
PAP20201007-08,8,38,11,50,,38,50,0,0
PAP20201007-08,,,10,45,,,45,0,0
PAP20201007-08,,,10,42,,,42,0,0
PAP20201007-08,,,8,36,,,36,0,0
PAP20201007-08,,,12,50,,,50,0,0
PAP20201007-08,,,10,45,,,45,0,0
PAP20201007-08,,,10,45,,,45,0,0
PAP20201007-08,,,11,50,,,50,0,0
PAP20201007-08,,,9,41,,,41,0,0
PAP20201007-08,,,11,52,,,52,0,0
PAP20201007-08,,,10,43,,,43,0,0
PAP20201007-08,,,10,44,,,44,0,0
PAP20201007-09,15,74,11,57,,74,57,0,0
PAP20201007-09,13,70,14,65,,70,65,0,0
PAP20201007-09,13,67,13,63,,67,63,0,0
PAP20201007-09,21,96,8,42,,96,42,0,0
PAP20201007-09,10,48,10,44,,48,44,0,0
PAP20201007-09,9,55,,,,55,,0,0
PAP20201007-09,10,51,,,,51,,0,0
PAP20201007-09,13,72,,,,72,,0,0
PAP20201007-09,10,55,,,,55,,0,0
PAP20201007-09,17,84,,,,84,,0,0
PAP20201007-09,13,68,,,,68,,0,0
PAP20201007-09,18,91,,,,91,,0,0
PAP20201007-09,18,86,,,,86,,0,0
PAP20201007-09,13,65,,,,65,,0,0
PAP20201007-09,8,45,,,,45,,0,0
PAP20201007-09,16,81,,,,81,,0,0
PAP20201007-09,12,67,,,,67,,0,0
PAP20201007-09,8,45,,,,45,,0,0
PAP20201007-09,8,48,,,,48,,0,0
PAP20201007-09,10,56,,,,56,,0,0
PAP20201007-10,13,70,10,45,,70,45,0,0
PAP20201007-10,10,56,10,47,,56,47,0,0
PAP20201007-10,10,58,8,40,,58,40,0,0
PAP20201007-10,9,47,9,44,,47,44,0,0
PAP20201007-10,13,61,9,40,,61,40,0,0
PAP20201007-10,11,55,9,43,,55,43,0,0
PAP20201007-10,8,42,5,23,,42,23,0,0
PAP20201007-10,11,53,,,,53,,0,0
PAP20201007-10,9,44,,,,44,,0,0
PAP20201007-10,9,46,,,,46,,0,0
PAP20200910-01,,,11,55,,,55,0,0
PAP20200910-01,,,8,41,,,41,0,0
PAP20200910-03,16,82,13,64,,82,64,0,0
PAP20200910-03,11,64,13,66,,64,66,0,0
PAP20200910-03,11,65,13,63,,65,63,0,0
PAP20200910-03,12,68,11,57,,68,57,0,0
PAP20200910-03,13,69,8,35,,69,35,0,0
PAP20200910-03,13,64,,,,64,,0,0
PAP20200910-03,10,58,,,,58,,0,0
PAP20200910-03,10,58,,,,58,,0,0
PAP20200910-03,11,63,,,,63,,0,0
PAP20200910-03,7,45,,,,45,,0,0
PAP20200910-03,8,46,,,,46,,0,0
PAP20200910-03,9,48,,,,48,,0,0
PAP20200910-03,8,43,,,,43,,0,0
PAP20200910-03,8,44,,,,44,,0,0
PAP20200910-04,,,9,41,,,41,0,0
PAP20200910-05,12,58,10,47,,58,47,0,0
PAP20200910-05,10,40,11,47,,40,47,0,0
PAP20200910-05,9,37,11,54,,37,54,0,0
PAP20200910-05,9,39,11,47,,39,47,0,0
PAP20200910-05,9,37,13,59,,37,59,0,0
PAP20200910-05,6,31,13,60,,31,60,0,0
PAP20200910-05,10,53,11,46,,53,46,0,0
PAP20200910-05,,,9,43,,,43,0,0
PAP20200910-05,,,10,48,,,48,0,0
PAP20200910-05,,,12,48,,,48,0,0
PAP20200910-05,,,8,42,,,42,0,0
PAP20200910-05,,,10,44,,,44,0,0
PAP20200910-05,,,10,51,,,51,0,0
PAP20200910-05,,,8,38,,,38,0,0
PAP20200910-05,,,10,41,,,41,0,0
PAP20200910-05,,,9,43,,,43,0,0
PAP20200910-05,,,10,45,,,45,0,0
PAP20200910-05,,,9,40,,,40,0,0
PAP20200910-05,,,12,48,,,48,0,0
PAP20200910-05,,,10,43,,,43,0,0
PAP20200910-06,,,9,41,,,41,0,0
PAP20200910-06,,,8,41,,,41,0,0
PAP20200910-07,17,89,,,,89,,0,0
PAP20200910-07,12,64,,,,64,,0,0
PAP20200910-07,9,39,,,,39,,0,0
PAP20200910-07,8,42,,,,42,,0,0
PAP20200910-07,15,80,,,,80,,0,0
PAP20200910-07,10,47,,,,47,,0,0
PAP20200910-07,14,70,,,,70,,0,0
PAP20200910-07,8,44,,,,44,,0,0
PAP20200910-07,14,64,,,,64,,0,0
PAP20200910-07,14,80,,,,80,,0,0
PAP20200910-07,14,69,,,,69,,0,0
PAP20200910-07,8,45,,,,45,,0,0
PAP20200910-07,13,65,,,,65,,0,0
PAP20200910-07,9,53,,,,53,,0,0
PAP20200910-07,11,58,,,,58,,0,0
PAP20200910-07,10,47,,,,47,,0,0
PAP20200910-07,11,54,,,,54,,0,0
PAP20200910-07,10,51,,,,51,,0,0
PAP20200910-07,7,47,,,,47,,0,0
PAP20200910-07,7,42,,,,42,,0,0
PAP20200910-08,13,67,13,60,,67,60,0,0
PAP20200910-08,,,11,52,,,52,0,0
PAP20200910-08,,,9,47,,,47,0,0
PAP20200910-08,,,10,47,,,47,0,0
PAP20200910-09,21,104,15,77,,104,77,0,0
PAP20200910-09,11,53,16,76,,53,76,0,0
PAP20200910-09,13,66,19,82,,66,82,0,0
PAP20200910-09,13,65,13,65,,65,65,0,0
PAP20200910-09,11,61,14,60,,61,60,0,0
PAP20200910-09,15,71,10,47,,71,47,0,0
PAP20200910-09,15,75,12,58,,75,58,0,0
PAP20200910-09,13,70,11,54,,70,54,0,0
PAP20200910-09,19,95,13,57,,95,57,0,0
PAP20200910-09,10,54,10,43,,54,43,0,0
PAP20200910-09,10,52,10,46,,52,46,0,0
PAP20200910-09,15,84,,,,84,,0,0
PAP20200910-09,12,60,,,,60,,0,0
PAP20200910-09,17,95,,,,95,,0,0
PAP20200910-09,13,64,,,,64,,0,0
PAP20200910-09,15,55,,,,55,,0,0
PAP20200910-09,14,71,,,,71,,0,0
PAP20200910-09,11,60,,,,60,,0,0
PAP20200910-09,15,79,,,,79,,0,0
PAP20200910-09,13,65,,,,65,,0,0
PAP20200910-10,16,90,14,64,,90,64,0,0
PAP20200910-10,16,84,13,55,,84,55,0,0
PAP20200910-10,14,74,13,66,,74,66,0,0
PAP20200910-10,11,60,11,55,,60,55,0,0
PAP20200910-10,13,70,10,52,,70,52,0,0
PAP20200910-10,12,68,10,46,,68,46,0,0
PAP20200910-10,15,77,,,,77,,0,0
PAP20200910-10,9,51,,,,51,,0,0
PAP20200910-10,12,62,,,,62,,0,0
PAP20200910-10,11,60,,,,60,,0,0
PAP20200910-10,14,74,,,,74,,0,0
PAP20200910-10,12,57,,,,57,,0,0
PAP20200925-03,7,31,,,,31,,0,0
PAP20200925-03,7,34,,,,34,,0,0
PAP20200925-03,7,34,,,,34,,0,0
PAP20200925-04,,,14,61,,,61,0,0
PAP20200925-04,,,8,49,,,49,0,0
PAP20200925-05,15,67,7,36,,67,36,0,0
PAP20200925-05,15,71,13,50,,71,50,0,0
PAP20200925-05,16,82,13,59,,82,59,0,0
PAP20200925-05,8,48,13,58,,48,58,0,0
PAP20200925-05,12,70,12,56,,70,56,0,0
PAP20200925-05,13,65,11,51,,65,51,0,0
PAP20200925-05,14,73,13,57,,73,57,0,0
PAP20200925-05,9,41,12,58,,41,58,0,0
PAP20200925-05,10,61,11,47,,61,47,0,0
PAP20200925-05,12,60,9,48,,60,48,0,0
PAP20200925-05,14,72,12,58,,72,58,0,0
PAP20200925-05,14,65,10,44,,65,44,0,0
PAP20200925-05,12,66,10,48,,66,48,0,0
PAP20200925-05,11,55,7,34,,55,34,0,0
PAP20200925-05,12,64,9,44,,64,44,0,0
PAP20200925-05,10,55,9,38,,55,38,0,0
PAP20200925-05,12,63,12,53,,63,53,0,0
PAP20200925-05,15,74,11,49,,74,49,0,0
PAP20200925-05,11,54,12,54,,54,54,0,0
PAP20200925-05,11,55,13,57,,55,57,0,0
PAP20200925-06,15,62,11,49,,62,49,0,0
PAP20200925-06,10,55,,,,55,,0,0
PAP20200925-07,12,62,10,49,,62,49,0,0
PAP20200925-07,11,56,11,49,,56,49,0,0
PAP20200925-07,15,80,11,49,,80,49,0,0
PAP20200925-07,11,56,7,33,,56,33,0,0
PAP20200925-07,10,53,7,35,,53,35,0,0
PAP20200925-07,10,56,,,,56,,0,0
PAP20200925-07,11,56,,,,56,,0,0
PAP20200925-07,12,64,,,,64,,0,0
PAP20200925-07,9,50,,,,50,,0,0
PAP20200925-07,9,44,,,,44,,0,0
PAP20200925-07,8,42,,,,42,,0,0
PAP20200925-07,11,56,,,,56,,0,0
PAP20200925-07,9,45,,,,45,,0,0
PAP20200925-07,7,36,,,,36,,0,0
PAP20200925-07,13,66,,,,66,,0,0
PAP20200925-07,9,47,,,,47,,0,0
PAP20200925-07,13,64,,,,64,,0,0
PAP20200925-07,10,51,,,,51,,0,0
PAP20200925-07,10,58,,,,58,,0,0
PAP20200925-07,10,57,,,,57,,0,0
PAP20200925-08,8,44,7,40,,44,40,0,0
PAP20200925-08,11,46,,,,46,,0,0
PAP20200925-08,6,40,,,,40,,0,0
PAP20200925-08,8,46,,,,46,,0,0
PAP20200925-08,6,35,,,,35,,0,0
PAP20200925-08,8,43,,,,43,,0,0
PAP20200925-08,8,43,,,,43,,0,0
PAP20200925-08,6,37,,,,37,,0,0
PAP20200925-09,14,70,8,42,,70,42,0,0
PAP20200925-09,13,72,11,59,,72,59,0,0
PAP20200925-09,7,41,9,47,,41,47,0,0
PAP20200925-09,14,74,4,27,,74,27,0,0
PAP20200925-09,9,50,7,32,,50,32,0,0
PAP20200925-09,11,62,,,,62,,0,0
PAP20200925-09,13,68,,,,68,,0,0
PAP20200925-09,11,66,,,,66,,0,0
PAP20200925-09,16,82,,,,82,,0,0
PAP20200925-09,11,61,,,,61,,0,0
PAP20200925-09,8,46,,,,46,,0,0
PAP20200925-09,13,62,,,,62,,0,0
PAP20200925-09,6,36,,,,36,,0,0
PAP20200925-09,14,74,,,,74,,0,0
PAP20200925-09,10,62,,,,62,,0,0
PAP20200925-09,11,68,,,,68,,0,0
PAP20200925-09,9,61,,,,61,,0,0
PAP20200925-09,7,46,,,,46,,0,0
PAP20200925-09,11,63,,,,63,,0,0
PAP20200925-09,12,66,,,,66,,0,0
PAP20200925-10,13,65,14,65,,65,65,0,0
PAP20200925-10,8,42,11,49,,42,49,0,0
PAP20200925-10,9,45,10,46,,45,46,0,0
PAP20200925-10,9,41,11,47,,41,47,0,0
PAP20200925-10,8,42,11,48,,42,48,0,0
PAP20200925-10,6,32,12,52,,32,52,0,0
PAP20200925-10,10,44,9,37,,44,37,0,0
PAP20200925-10,10,36,9,38,,36,38,0,0
PAP20200925-10,7,31,11,49,,31,49,0,0
PAP20200925-10,,,9,33,,,33,,0
PAP20200925-10,,,8,38,,,38,,0